Density,Anomaly at -10,Anomaly at -9,Anomaly at -8,Anomaly at -7,Anomaly at -6,Anomaly at -5,Anomaly at -4,Anomaly at -3,Anomaly at -2,Anomaly at -1,Anomaly at 0,Anomaly at 1,Anomaly at 2,Anomaly at 3,Anomaly at 4,Anomaly at 5,Anomaly at 6,Anomaly at 7,Anomaly at 8,Anomaly at 9,Anomaly at 10,Depth
-2079.796,-2492.501,-2741.732,-2893.694,-3544.472,-3827.966,-4209.339,-5157.293,-5446.505,-6076.068,-6260.202,-6610.049,-6741.173,-5710.274,-5911.183,-5317.641,-4048.917,-4298.015,-3654.875,-3038.496,-2866.042,-2559.68,7.799
-1652.021,-1666.218,-1841.386,-1990.812,-2642.114,-3375.179,-3815.605,-5295.197,-6044.077,-7286.325,-7780.39,-8289.745,-7766.208,-7153.034,-5885.469,-4943.772,-3995.102,-2923.135,-3256.081,-2050.534,-2032.641,-1896.992,5.213
-2200.048,-455.574,-522.913,-659.75,-684.815,-732.928,-975.092,-955.188,-985.838,-1140.257,-1114.445,-1288.371,-1216.433,-1073.166,-1300.837,-1091.22,-1127.632,-850.758,-618.51,-558.73,-533.638,-603.166,8.164
-1666.963,-868.988,-826.813,-954.1,-965.841,-1125.953,-1315.612,-1651.394,-1803.429,-2140.553,-1744.886,-2247.144,-1708.938,-1465.485,-1862.04,-1651.655,-1465.558,-1149.228,-1212.459,-1003.77,-925.036,-800.205,8.351
-1526.032,-1454.347,-1336.703,-1450.167,-1599.152,-2105.764,-2101.681,-2750.054,-2738.832,-3168.222,-4001.363,-3371.26,-3255.541,-3730.572,-4131.897,-2897.086,-1924.702,-2036.041,-1867.83,-1621.716,-1599.628,-1182.39,7.674
-2261.654,-1825.003,-1879.894,-2221.997,-2274.78,-2654.212,-3407.129,-3136.923,-3371.917,-2956.449,-4162.694,-3775.884,-3899.162,-3668.128,-2865.576,-3085.674,-3091.671,-2653.372,-2254.261,-2421.268,-2034.731,-1508.137,9.446
-2144.17,-2621.297,-3122.745,-2923.412,-4079.977,-4103.702,-4226.372,-4797.343,-5107.286,-5728.08,-5911.118,-6026.344,-5382.851,-4897.359,-5805.167,-4430.405,-4806.242,-4187.942,-3379.685,-3521.937,-2996.178,-2188.424,9.324
-1900.35,-2524.501,-3097.362,-3267.167,-4320.25,-4374.963,-5768.443,-6667.476,-7617.462,-7313.037,-8127.674,-8377.969,-9310.561,-7751.287,-8187.375,-5417.99,-5631.219,-4724.592,-4207.127,-4169.005,-3547.516,-2722.977,6.83
-2029.48,-1852.474,-2222.712,-2709.31,-3327.367,-2915.214,-3605.477,-3718.272,-5209.936,-5541.67,-4068.391,-5638.995,-5729.848,-5519.238,-4074.66,-4540.973,-4047.915,-2831.661,-2876.131,-2474.544,-2080.146,-1826.84,7.345
-2326.655,-1497.224,-2049.83,-2677.528,-2437.248,-3424.551,-3364.185,-3347.373,-3608.851,-3349.359,-5104.373,-4040.991,-3844.181,-4103.918,-3501.253,-3835.908,-2940.177,-2684.91,-2791.952,-2421.108,-2062.262,-1923.687,8.714
-2466.956,-3618.174,-4432.056,-5005.659,-4985.845,-6507.861,-5783.536,-6420.03,-8364.757,-7845.043,-9069.167,-7411.934,-7698.566,-9773.607,-8152.647,-7255.048,-6211.891,-5466.198,-5313.125,-3913.859,-4267.754,-3989.664,8.98
-2484.284,-3779.8,-4901.416,-6357.827,-6817.119,-7447.741,-8594.875,-10625.026,-13506.263,-15890.134,-12977.598,-14248.244,-15987.535,-14447.384,-13080.712,-12984.772,-9481.655,-9096.791,-7502.359,-5834.405,-5514.116,-4496.335,6.836
-1789.967,-2130.962,-2813.134,-2565.632,-3519.001,-3561.789,-3114.216,-4911.775,-4803.431,-4870.794,-5205.673,-5023.018,-4622.304,-4611.146,-5519.845,-4373.301,-4230.691,-4085.195,-3345.796,-3345.737,-3094.745,-2947.611,9.814
-2353.014,-1630.651,-1914.028,-1812.166,-2140.894,-3493.147,-3386.823,-4366.698,-4272.129,-4945.727,-4882.239,-5342.735,-4973.391,-5175.246,-5658.492,-4439.709,-3722.047,-3083.787,-2770.18,-1804.203,-1887.415,-1397.966,6.412
-1857.522,-808.551,-1067.384,-1089.755,-1307.201,-1057.696,-1189.19,-1518.394,-1627.044,-1505.764,-2258.194,-1728.192,-1558.994,-1778.012,-1425.512,-1597.418,-1509.111,-1279.142,-1178.379,-935.535,-902.021,-781.653,9.586
-1536.621,-3611.972,-4288.624,-3374.297,-4949.41,-5545.338,-6301.62,-7243.885,-8591.678,-8756.598,-7740.602,-10314.12,-11089.975,-8025.693,-7569.465,-6564.321,-5211.555,-5954.859,-4782.949,-4049.719,-3277.17,-2947.321,7.53
-2220.637,-7363.398,-7775.983,-7525.758,-9084.827,-10462.939,-12341.92,-12165.319,-12807.62,-12722.385,-17064.108,-13605.326,-13629.96,-15132.209,-13183.315,-12290.24,-12338.1,-9369.793,-9560.329,-8492.348,-6885.518,-6402.211,9.115
-1553.005,-599.048,-625.567,-810.282,-972.343,-1150.539,-1096.219,-1462.273,-1673.111,-2147.413,-1965.86,-2697.048,-1688.359,-1865.403,-1632.008,-1635.413,-1367.836,-990.419,-918.904,-737.135,-577.744,-534.051,6.324
-2073.321,-526.167,-615.758,-736.479,-962.473,-1081.112,-1346.465,-2146.706,-2527.511,-3419.917,-4272.185,-4452.489,-4427.798,-2767.682,-1934.509,-1912.281,-1357.591,-925.518,-894.961,-737.564,-462.524,-414.823,3.473
-2364.554,-7694.649,-10549.139,-9025.177,-9218.684,-12453.085,-12465.355,-17980.532,-17402.319,-20809.64,-18226.618,-18109.903,-21407.26,-19555.992,-17826.675,-11683.219,-14008.686,-12269.955,-10627.896,-9470.911,-8845.587,-8674.169,8.176
-2013.371,-856.341,-800.059,-958.738,-1003.247,-1044.688,-1349.426,-1314.569,-1566.233,-1851.553,-1889.121,-1800.218,-1757.449,-1647.375,-1550.58,-1437.887,-1236.464,-1349.512,-1057.297,-961.287,-802.113,-791.684,8.14
-1837.45,-1270.167,-1320.787,-1411.299,-1974.595,-2099.093,-3554.063,-3687.236,-4521.022,-5629.21,-7319.661,-6235.917,-7842.464,-5032.065,-4461.07,-3332.266,-3029.943,-2636.251,-2023.696,-1653.265,-1234.822,-1139.539,4.453
-1571.931,-4127.352,-4687.388,-5707.592,-4762.102,-5797.487,-7100.732,-8779.977,-9420.61,-9497.268,-9117.757,-11088.095,-9202.788,-8263.409,-9268.44,-6698.178,-7619.04,-6921.893,-6004.356,-5086.496,-5103.553,-4063.369,8.349
-1755.631,-2130.999,-3452.789,-3477.585,-3438.364,-5303.614,-5629.487,-7636.088,-8740.262,-8624.37,-9955.078,-9476.82,-8523.712,-10102.545,-8576.326,-6905.247,-4533.083,-5163.837,-4438.005,-3437.362,-2420.387,-2794.87,5.978
-1887.355,-6026.215,-5260.955,-5793.102,-7100.353,-8112.33,-6792.941,-9575.713,-9493.865,-10186.062,-10130.716,-11019.28,-10695.649,-10255.295,-9626.195,-7764.771,-7980.742,-7899.543,-7450.458,-5549.416,-6408.335,-5370.481,8.91
-1951.951,-900.899,-933.65,-1144.931,-1360.088,-1473.718,-1733.535,-1769.174,-2357.273,-2314.027,-2367.17,-2588.49,-2541.575,-2223.365,-2043.863,-1969.149,-1728.339,-1599.43,-1248.362,-1168.156,-1168.13,-911.742,7.328
-1740.255,-3201.117,-4168.293,-4437.229,-4115.39,-5643.539,-6694.391,-6356.29,-6678.429,-6668.082,-7277.831,-7963.048,-7581.101,-7208.355,-6715.809,-6197.601,-6746.697,-5632.858,-4867.69,-4591.198,-3458.861,-3086.456,9.006
-2317.018,-806.568,-1078.673,-1076.852,-1312.672,-1314.625,-1630.54,-1500.019,-2086.226,-1820.737,-2193.453,-2109.869,-2539.663,-2456.136,-1736.188,-1980.888,-1633.297,-1445.404,-1346.442,-1064.824,-1091.744,-944.208,7.81
-1741.155,-1152.583,-1164.774,-1590.366,-1460.734,-1760.923,-2315.559,-2674.096,-2733.982,-3054.902,-2784.015,-2920.907,-2683.458,-2811.379,-2501.675,-2434.458,-1919.249,-1993.34,-1571.292,-1498.159,-1271.064,-1104.232,8.091
-2080.494,-1316.161,-1835.328,-1758.572,-2082.215,-2184.779,-2691.707,-3211.211,-3620.732,-3678.906,-3338.102,-4298.285,-5256.272,-4233.821,-3498.091,-2137.398,-2967.758,-2447.066,-1903.022,-1670.021,-1680.422,-1161.345,6.349
-1763.295,-1647.98,-1721.43,-1703.5,-2314.941,-2737.142,-3403.173,-3595.044,-4229.901,-4156.576,-5167.679,-4177.446,-4090.877,-4257.636,-3953.849,-2894.558,-3267.141,-2336.348,-2034.371,-2076.454,-1813.025,-1478.407,7.183
-1640.752,-1727.336,-1786.626,-2618.3,-2632.929,-3997.174,-4296.245,-4652.135,-5580.841,-6658.676,-8443.239,-6484.366,-6762.88,-5860.479,-5131.799,-5108.375,-3965.248,-2529.455,-3129.982,-2330.001,-2176.537,-1450.265,5.55
-1709.382,-649.331,-901.165,-974.483,-986.583,-1214.211,-1363.977,-1477.274,-1857.113,-2326.706,-2001.96,-2074.399,-2258.303,-1803.111,-1735.326,-1586.424,-1230.745,-1252.191,-1001.442,-900.553,-776.098,-678.154,6.49
-2098.68,-855.282,-1000.791,-1174.826,-1608.698,-1510.47,-1967.549,-2503.039,-2940.876,-3508.446,-3729.862,-3806.705,-3996.622,-4395.168,-3186.555,-2849.204,-2436.334,-1686.518,-1758.598,-1138.93,-1116.645,-1003.16,5.214
-2054.864,-2691.979,-2942.931,-4320.356,-4572.483,-5577.712,-6717.863,-7573.832,-9917.188,-9947.451,-10586.073,-10253.997,-11560.426,-10215.921,-7485.685,-8778.952,-6351.929,-5549.127,-4425.93,-3401.895,-3228.875,-2792.021,5.715
-1552.378,-2445.835,-2907.892,-3026.552,-3068.161,-3168.284,-5157.693,-4640.212,-5203.315,-5361.013,-5404.036,-6088.396,-6269.651,-4754.918,-4590.434,-4767.737,-4196.298,-3982.209,-3794.149,-2753.633,-2797.972,-2595.045,8.435
-1587.161,-3828.205,-3562.484,-4365.876,-4399.268,-5626.39,-6035.733,-5899.328,-5999.353,-7750.415,-7479.996,-5435.42,-5445.201,-6728.615,-5643.337,-6738.471,-4436.378,-5044.387,-5378.257,-4040.861,-3394.49,-3507.083,9.353
-2366.534,-803.341,-960.762,-1128.621,-1145.54,-1405.421,-1315.004,-1633.611,-1295.129,-1752.005,-1872.568,-1914.058,-2160.685,-1860.06,-1736.988,-1545.134,-1673.278,-1231.157,-966.277,-1037.915,-894.024,-760.636,8.92
-2425.415,-467.936,-500.944,-714.579,-791.413,-1001.323,-1742.251,-1734.391,-1784.205,-2827.31,-4051.297,-3698.921,-3267.011,-3156.721,-2342.477,-1829.407,-1299.756,-997.42,-1032.641,-632.436,-592.518,-425.881,3.841
-1796.512,-2510.781,-3370.889,-3468.254,-4510.018,-5439.599,-5427.209,-6241.817,-6377.018,-9676.639,-7903.703,-7999.238,-8317.001,-6735.792,-7897.472,-6245.74,-5897.066,-4952.558,-4713.16,-3771.803,-3010.107,-2785.289,7.0
-2084.905,-727.539,-847.87,-957.62,-1183.866,-1136.39,-1628.123,-1538.241,-1898.952,-1978.065,-2314.478,-2115.21,-2019.604,-1982.838,-2114.116,-1801.721,-1481.518,-1300.966,-1321.726,-1038.781,-947.26,-758.331,7.557
-2478.577,-1614.783,-1495.424,-2387.712,-2704.644,-3362.553,-3806.344,-3588.083,-5243.725,-5826.026,-7144.329,-6439.776,-5899.874,-5844.878,-5129.331,-3904.88,-3414.164,-3076.397,-2774.509,-2511.537,-1543.167,-1846.255,5.882
-1719.642,-1749.123,-1907.324,-2017.596,-2202.09,-2185.635,-3113.889,-3172.6,-3578.294,-3266.422,-2897.747,-3258.269,-2768.102,-3686.633,-4078.077,-2960.816,-3328.069,-2817.662,-2027.357,-2001.608,-1638.992,-2039.183,9.426
-2288.086,-2078.786,-2716.852,-3487.285,-4016.303,-4357.154,-3763.964,-5515.882,-5815.606,-5314.157,-6304.684,-6853.008,-5251.439,-5680.37,-5873.455,-5225.367,-4112.95,-4204.535,-3507.112,-2902.771,-2538.927,-2966.589,8.203
-1584.419,-193.87,-172.501,-239.003,-275.426,-398.277,-611.742,-645.577,-1339.748,-1937.355,-3000.956,-3566.613,-2526.968,-1623.671,-1126.882,-734.764,-595.061,-446.495,-408.884,-279.122,-166.72,-164.122,2.258
-1693.183,-1455.363,-1871.257,-2050.464,-2027.608,-2622.883,-3132.662,-2809.847,-3770.263,-4071.478,-3917.943,-4540.539,-4145.768,-3862.434,-3326.749,-3458.205,-2525.003,-2389.036,-1762.026,-1827.411,-1715.005,-1498.754,7.105
-1989.955,-733.748,-730.143,-977.491,-822.541,-960.569,-1049.186,-1465.991,-1206.459,-1288.865,-1356.272,-1163.104,-1477.4,-1451.835,-1156.164,-1393.016,-1084.806,-1178.558,-944.986,-793.956,-745.438,-554.474,8.962
-2090.862,-5111.518,-6490.061,-8835.22,-8492.502,-8983.333,-11549.887,-11358.183,-10708.781,-13803.552,-14091.105,-14274.403,-15391.274,-14113.872,-13920.9,-11982.873,-11414.674,-8576.997,-8568.312,-6896.741,-7546.146,-5972.549,8.481
-1669.664,-4330.911,-3939.078,-4367.165,-5537.667,-6477.231,-7628.562,-6073.607,-8678.769,-8303.639,-9847.655,-8404.563,-8781.356,-7594.245,-7944.79,-7569.778,-6046.144,-6137.566,-6141.495,-5909.799,-4338.588,-4741.168,9.323
-2095.404,-1596.164,-1933.092,-1875.826,-2082.711,-2364.786,-2677.558,-2605.461,-2909.332,-3739.236,-2833.703,-3261.292,-3272.204,-3382.645,-3183.694,-3605.741,-2705.851,-2262.034,-2037.934,-2085.534,-2167.156,-1751.142,9.213
-1741.813,-4361.128,-5163.119,-3506.543,-6827.153,-6012.163,-7182.849,-9763.241,-9875.521,-9804.669,-10425.286,-11220.848,-12190.179,-10906.182,-10420.56,-8405.513,-7441.702,-7039.721,-5543.555,-5248.291,-4695.215,-4247.743,8.418
-2194.595,-2320.271,-2069.412,-2471.51,-3068.076,-3781.364,-4877.567,-4234.804,-5064.024,-4407.96,-5760.438,-5326.421,-5821.063,-5098.344,-5116.527,-4563.515,-4773.157,-3806.448,-3174.383,-2393.495,-2349.51,-2392.083,7.738
-1757.843,-2573.79,-2807.496,-3274.829,-3027.197,-4411.257,-4691.353,-4870.334,-6637.302,-6291.483,-7035.593,-6321.982,-7648.432,-5719.464,-6228.915,-5456.011,-4750.928,-3876.808,-3500.87,-3471.175,-2751.905,-2555.144,8.044
-2336.62,-682.066,-899.772,-862.44,-1094.649,-1665.66,-1683.434,-1950.33,-2149.168,-2373.279,-2326.94,-2471.553,-2639.765,-2125.724,-1823.952,-1767.676,-1350.871,-1262.138,-1196.651,-1012.225,-839.099,-688.413,6.536
-2034.734,-1502.228,-1874.066,-1806.174,-2159.46,-2581.823,-3156.206,-3205.234,-3896.764,-4148.639,-4471.407,-4052.92,-3638.478,-4696.318,-3720.628,-3504.186,-3263.863,-3012.14,-2532.942,-2157.482,-1675.6,-1550.843,7.634
-2457.572,-2804.33,-2411.62,-3345.854,-3864.28,-4589.36,-4866.156,-7555.682,-8253.897,-10876.109,-9722.324,-9407.696,-10162.509,-7113.602,-7027.011,-5327.377,-5482.058,-3807.498,-4106.7,-3149.003,-2752.188,-2485.401,5.586
-1705.648,-2783.389,-2723.285,-3675.784,-3684.356,-4501.134,-5893.359,-5963.378,-6085.268,-6002.495,-7654.792,-8093.7,-8628.392,-8288.592,-7302.838,-5598.414,-5558.862,-4557.801,-3707.61,-3296.52,-3017.554,-2706.797,6.943
-2032.737,-3250.229,-2966.579,-4476.353,-3684.803,-5707.287,-5797.633,-6062.638,-5289.411,-6216.779,-6448.077,-5842.095,-6697.038,-6921.786,-5339.569,-5960.701,-6039.521,-5715.622,-4321.225,-3203.217,-3276.793,-3163.033,9.2
-2348.354,-2054.715,-1937.905,-2371.571,-2486.758,-2900.987,-3888.22,-4731.888,-5005.434,-5833.279,-5070.3,-4536.87,-5938.687,-4770.913,-4664.071,-5042.498,-3724.734,-3586.367,-2842.439,-2620.027,-1913.976,-1764.97,6.978
-2224.961,-537.28,-668.268,-710.942,-613.769,-859.837,-949.383,-1055.95,-865.955,-1007.12,-1030.802,-955.025,-1022.708,-946.158,-997.206,-878.566,-827.851,-746.386,-810.238,-665.62,-605.95,-558.569,9.184
-1710.98,-2486.685,-2706.376,-2981.41,-3587.138,-3605.589,-4624.97,-3698.613,-4487.759,-5215.432,-4602.855,-6299.382,-5904.884,-4083.421,-4704.022,-4571.925,-4403.08,-3625.353,-3528.489,-3538.814,-2294.696,-2548.019,9.185
-2431.584,-867.193,-1200.709,-1399.551,-1985.642,-2339.063,-2855.376,-3126.614,-4470.232,-6113.888,-6583.541,-7595.471,-7052.055,-5377.394,-4555.203,-3560.439,-2581.233,-2289.37,-1714.704,-1684.386,-1190.238,-804.962,3.749
-2025.738,-637.674,-854.948,-1166.042,-1349.351,-1536.567,-2172.398,-2145.091,-2751.271,-2976.309,-4247.221,-3989.923,-4071.063,-3107.436,-2984.73,-1944.635,-2063.666,-1841.447,-1069.277,-1147.541,-812.463,-709.066,4.88
-1705.428,-1291.957,-1527.042,-1788.178,-2087.445,-2443.621,-3271.352,-3247.017,-4240.892,-4961.248,-4835.479,-4759.663,-4366.584,-4264.68,-3851.627,-3691.129,-2852.752,-2479.942,-2095.062,-1980.345,-1311.697,-1261.013,6.219
-1622.683,-2798.656,-3164.364,-2962.722,-3385.59,-4058.797,-4338.291,-3507.809,-5399.739,-4438.028,-5220.932,-4559.934,-4866.783,-4376.123,-4979.825,-4311.859,-4318.772,-3992.031,-3686.702,-3190.821,-2714.408,-2755.18,9.519
-1953.361,-4944.853,-5595.852,-4692.003,-6325.732,-7417.321,-9161.073,-10442.844,-8691.153,-10703.396,-11302.682,-9632.002,-9916.478,-10102.975,-11027.857,-10601.282,-7294.675,-7285.091,-6655.57,-4669.337,-5362.437,-4417.399,8.601
-2322.734,-3452.368,-4044.365,-3929.746,-4671.195,-5057.971,-6162.252,-6130.727,-8147.249,-9511.258,-9175.095,-8211.997,-8205.103,-9566.336,-8993.463,-7292.442,-6642.435,-5945.745,-5303.399,-4599.399,-3528.015,-3112.796,7.097
-2104.988,-7480.025,-7118.446,-9177.508,-9601.637,-10045.833,-14387.518,-13505.836,-15490.322,-15569.757,-13357.676,-18341.694,-17534.675,-18169.092,-14782.958,-12944.016,-15497.024,-9430.004,-8227.299,-10987.549,-8815.893,-6445.0,8.05
-2047.463,-645.8,-830.836,-812.773,-1162.535,-1352.047,-1968.957,-2453.832,-3425.776,-4051.825,-4653.034,-5876.188,-5111.02,-3992.635,-3222.408,-2332.587,-1920.265,-1394.671,-1350.006,-845.371,-745.251,-712.856,3.528
-1569.867,-2590.374,-3337.006,-4262.99,-4080.584,-5531.455,-5450.176,-6293.549,-6328.449,-6821.725,-7173.248,-7769.724,-6651.714,-6592.479,-7077.849,-5575.041,-5821.909,-4859.811,-4414.89,-3922.655,-3173.143,-3627.517,8.432
-1872.67,-1588.42,-1638.069,-2331.154,-2670.558,-2423.111,-3756.686,-3449.057,-3999.891,-5635.057,-5052.611,-5440.758,-4792.517,-4478.128,-4024.233,-3483.026,-3192.932,-2961.26,-2540.931,-2286.128,-2333.678,-1914.281,6.759
-1658.231,-1435.084,-1622.577,-1822.316,-2116.569,-3125.813,-2693.259,-3791.174,-4672.922,-6356.855,-5106.693,-6227.168,-5699.997,-5990.63,-4025.901,-3551.158,-3494.581,-2268.925,-2621.13,-1797.597,-1552.896,-1314.516,5.182
-2482.38,-4103.134,-5090.701,-6455.447,-7114.46,-9440.824,-10894.956,-12340.429,-12810.166,-14230.0,-13520.506,-13705.928,-14105.703,-13028.577,-12305.087,-13277.483,-9632.67,-10286.899,-6588.22,-6342.782,-5368.427,-5239.42,7.422
-1920.977,-533.177,-594.014,-801.149,-919.042,-1066.382,-1681.669,-2023.604,-2605.591,-3024.789,-3433.039,-3424.54,-3414.698,-3042.832,-2287.614,-1709.72,-1353.471,-936.867,-1016.393,-760.233,-731.027,-576.677,4.135
