Density,Anomaly at -10,Anomaly at -9,Anomaly at -8,Anomaly at -7,Anomaly at -6,Anomaly at -5,Anomaly at -4,Anomaly at -3,Anomaly at -2,Anomaly at -1,Anomaly at 0,Anomaly at 1,Anomaly at 2,Anomaly at 3,Anomaly at 4,Anomaly at 5,Anomaly at 6,Anomaly at 7,Anomaly at 8,Anomaly at 9,Anomaly at 10,Depth
-2251.137,-160.267,-218.476,-280.295,-333.149,-470.491,-665.526,-1093.224,-1897.792,-1616.905,-2413.991,-2678.667,-2272.265,-1955.635,-1210.38,-905.848,-659.612,-504.886,-360.703,-260.683,-179.871,-140.358,4.184
-2636.727,-632.707,-722.521,-802.686,-1018.251,-1195.778,-1572.305,-1764.174,-1857.525,-1891.921,-1737.661,-2060.395,-1952.274,-2125.761,-2252.711,-1795.455,-1783.205,-1275.894,-1134.716,-899.007,-828.775,-557.729,9.14
-1535.758,-57.766,-89.659,-81.629,-111.965,-144.356,-159.826,-207.958,-221.707,-270.517,-284.808,-332.843,-256.69,-232.573,-217.863,-210.947,-148.855,-138.211,-121.011,-100.634,-68.24,-54.253,7.361
-1618.264,-25.444,-36.516,-36.044,-45.36,-64.2,-83.03,-66.16,-119.01,-96.62,-133.726,-178.163,-146.222,-145.179,-108.777,-84.396,-63.028,-56.476,-41.165,-28.335,-32.286,-22.816,6.65
-1532.873,-150.147,-180.889,-203.621,-297.319,-300.227,-475.481,-679.907,-960.892,-1133.518,-1041.003,-994.503,-1079.41,-986.173,-747.494,-601.469,-446.052,-412.376,-295.399,-212.929,-197.954,-110.31,5.831
-2006.73,-156.742,-202.911,-233.664,-278.043,-256.125,-393.557,-472.936,-496.17,-492.086,-438.722,-568.84,-500.412,-426.569,-481.684,-398.293,-311.506,-247.514,-267.041,-233.917,-200.761,-161.092,9.448
-2084.05,-458.738,-586.125,-666.306,-600.073,-854.315,-926.573,-1209.537,-1183.957,-1479.542,-1189.643,-1480.344,-1551.89,-1319.141,-1186.354,-988.572,-813.946,-646.868,-751.203,-516.574,-551.849,-324.534,8.222
-1442.413,-99.817,-156.289,-169.609,-237.915,-251.589,-421.054,-473.537,-597.088,-714.926,-660.458,-994.326,-727.888,-630.644,-587.143,-342.561,-356.317,-270.099,-201.065,-169.611,-117.742,-110.286,6.263
-2432.253,-66.545,-70.875,-94.761,-117.402,-121.572,-158.858,-185.937,-179.483,-250.221,-240.773,-231.36,-226.982,-258.883,-217.07,-183.966,-150.382,-116.099,-144.538,-66.753,-77.027,-59.933,8.429
-1926.222,-118.93,-168.656,-185.469,-225.702,-375.576,-511.562,-741.394,-951.86,-1362.639,-1610.189,-1852.656,-1319.402,-1312.996,-1032.73,-688.135,-439.603,-278.081,-252.821,-224.703,-121.754,-108.016,4.401
-2495.1,-205.823,-327.518,-359.893,-290.66,-489.055,-705.611,-840.641,-965.771,-1218.232,-1266.273,-1364.24,-1236.08,-1280.207,-858.219,-747.302,-571.269,-502.768,-443.394,-323.431,-282.22,-252.14,6.877
-2220.281,-51.755,-57.594,-84.382,-108.233,-133.832,-183.806,-231.888,-302.84,-324.652,-326.613,-378.786,-326.872,-279.862,-241.573,-189.749,-160.035,-125.08,-120.262,-96.389,-56.06,-44.326,6.589
-2718.759,-224.413,-271.806,-256.498,-373.909,-350.696,-444.502,-526.808,-484.736,-638.534,-611.485,-669.883,-663.342,-603.6,-556.348,-522.124,-397.217,-378.302,-415.238,-261.175,-260.542,-233.118,9.758
